entropy0_a,entropy1_a,entropy2_a,entropy3_a,entropy4_a,entropy0_b,entropy1_b,entropy2_b,entropy3_b,entropy4_b
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.98,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,4.94,5.01,0.0,4.95,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.94,5.0,4.94,4.98,0.0,4.97,5.0,4.94,4.99,0.0
4.98,5.01,4.95,4.98,0.0,4.97,5.0,0.0,4.97,0.0
4.94,5.0,4.93,4.95,0.0,4.96,5.0,4.92,4.98,0.0
0.0,4.98,0.0,0.0,0.0,0.0,4.98,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.98,0.0,0.0,0.0
4.99,5.01,0.0,5.0,0.0,4.99,5.01,0.0,4.99,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
4.83,4.98,0.0,4.89,0.0,4.95,4.99,4.92,4.96,0.0
4.98,5.0,0.0,4.98,0.0,4.98,5.0,0.0,4.99,0.0
0.0,4.96,4.92,0.0,0.0,0.0,4.95,4.93,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
4.98,5.01,4.96,4.97,0.0,4.97,5.0,0.0,4.96,0.0
0.0,5.0,4.93,0.0,0.0,0.0,5.0,4.93,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
4.98,5.01,4.98,4.99,0.0,4.97,5.01,4.96,4.96,0.0
4.98,5.01,4.98,4.98,0.0,4.96,5.01,4.96,0.0,0.0
4.97,5.01,4.96,4.98,0.0,4.97,5.01,4.96,4.98,0.0
4.97,5.0,4.97,4.98,0.0,4.97,5.01,4.98,4.99,0.0
4.96,5.01,4.96,0.0,0.0,4.96,5.01,4.97,0.0,0.0
0.0,5.0,4.96,0.0,0.0,0.0,5.0,4.96,0.0,0.0
4.99,5.01,4.94,4.99,0.0,4.97,5.01,4.95,4.98,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
4.97,5.01,4.96,4.98,0.0,4.97,5.01,4.97,4.98,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,4.93,4.97,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,0.0,4.94,4.98,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.99,4.96,0.0,0.0,0.0,5.0,4.96,0.0,0.0
4.98,4.99,4.97,4.99,0.0,0.0,4.98,4.97,0.0,0.0
0.0,5.01,4.91,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.99,5.01,0.0,0.0,0.0,5.0,5.01,0.0,0.0
0.0,4.98,4.93,0.0,0.0,0.0,4.99,4.94,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,4.96,0.0,0.0,5.01,0.0,4.96,0.0
0.0,5.01,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.0
0.0,5.0,4.92,0.0,0.0,0.0,5.0,4.92,0.0,0.0
4.99,5.0,4.96,4.98,0.0,4.98,5.01,4.96,4.97,0.0
4.98,5.0,4.96,4.99,0.0,4.96,5.01,4.97,4.99,0.0
0.0,5.0,4.92,0.0,0.0,0.0,5.0,4.92,0.0,0.0
0.0,5.0,4.91,4.97,0.0,0.0,5.0,4.91,4.97,0.0
0.0,4.93,0.0,0.0,0.0,0.0,4.94,0.0,0.0,0.0
0.0,4.97,0.0,0.0,0.0,0.0,4.97,4.95,0.0,0.0
0.0,5.0,0.0,4.97,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.97,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,4.9,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0
0.0,5.0,0.0,4.93,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.01,4.95,0.0,0.0,4.99,5.0,4.97,4.99,0.0
0.0,4.96,0.0,0.0,0.0,0.0,4.99,0.0,4.95,0.0
0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.98,4.91,0.0,0.0,0.0,4.99,4.91,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
4.97,5.01,0.0,4.99,0.0,4.97,5.01,4.94,4.98,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,4.97,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
4.99,5.01,4.94,4.99,0.0,4.98,5.01,4.93,4.98,0.0
4.98,5.01,4.98,4.99,0.0,4.98,5.01,4.98,4.99,0.0
0.0,5.0,0.0,0.0,0.0,0.0,4.98,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,4.93,0.0,0.0,0.0,4.93,5.0,4.96,4.94,0.0
4.97,5.0,0.0,4.97,0.0,4.98,5.0,0.0,4.98,0.0
4.92,5.0,4.89,4.94,0.0,4.93,5.01,4.9,4.91,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
4.98,5.01,4.97,4.99,0.0,4.98,5.01,4.98,4.99,0.0
4.97,5.0,0.0,4.98,0.0,4.96,5.0,0.0,4.97,0.0
0.0,4.97,0.0,0.0,0.0,0.0,4.98,0.0,0.0,0.0
4.97,5.01,4.98,4.98,0.0,4.98,5.01,4.98,4.99,0.0
0.0,4.96,0.0,4.92,0.0,0.0,4.98,0.0,4.93,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,4.96,0.0
0.0,5.01,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.0
0.0,4.97,0.0,0.0,0.0,0.0,4.98,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
4.98,5.01,4.94,4.99,0.0,0.0,4.98,4.93,0.0,0.0
4.99,5.01,4.95,4.98,0.0,4.98,5.01,4.96,4.99,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.97,4.92,0.0,0.0,0.0,4.96,4.92,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,5.0,4.9,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.0
4.98,5.01,4.98,4.99,0.0,4.98,5.01,4.98,4.99,0.0
0.0,4.99,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.99,0.0,4.95,0.0,0.0,5.0,0.0,4.92,0.0
4.95,5.0,4.94,4.98,0.0,4.96,5.0,0.0,4.97,0.0
4.97,5.0,0.0,4.99,0.0,4.97,5.01,4.98,4.99,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,4.95,5.0,4.96,4.97,0.0
4.98,5.0,4.95,4.99,0.0,4.98,5.01,4.97,5.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.01,4.96,4.97,0.0,4.97,5.01,4.96,4.98,0.0
0.0,5.0,0.0,4.95,0.0,0.0,5.0,0.0,4.96,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
4.98,5.01,0.0,4.97,0.0,4.96,5.01,0.0,4.97,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
4.97,5.0,4.96,4.97,0.0,4.95,5.0,4.96,4.96,0.0
4.98,5.0,0.0,4.98,0.0,4.97,5.0,0.0,4.96,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
4.98,5.01,4.97,4.99,0.0,4.97,5.01,4.96,4.99,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.98,0.0,0.0,0.0
4.97,5.0,0.0,4.98,0.0,4.97,5.0,0.0,4.99,0.0
0.0,4.99,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,4.98,5.0,0.0,4.98,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.95,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0
4.96,5.0,4.98,4.97,0.0,4.95,5.01,4.97,4.96,0.0
4.97,5.01,4.93,4.98,0.0,4.96,5.0,4.92,4.98,0.0
0.0,4.99,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.01,4.92,4.92,0.0,0.0,5.01,4.92,0.0,0.0
4.95,5.01,4.92,4.97,0.0,4.97,5.01,4.93,4.98,0.0
4.99,5.01,4.93,4.99,0.0,4.98,5.01,4.93,4.99,0.0
0.0,4.98,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,4.95,0.0,0.0,0.0,5.0,4.95,0.0,0.0
0.0,4.97,0.0,0.0,0.0,0.0,4.97,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,4.95,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
4.98,5.01,4.95,4.99,0.0,4.98,5.01,4.93,4.99,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
4.99,5.01,4.94,4.98,0.0,4.98,5.01,4.96,4.98,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
4.98,5.01,4.97,4.99,0.0,4.98,5.01,4.98,4.98,0.0
4.98,5.01,4.96,4.99,0.0,4.97,5.0,4.95,4.98,0.0
0.0,4.97,4.9,0.0,0.0,0.0,4.97,4.9,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.01,0.0,4.88,0.0
0.0,5.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
4.98,4.99,0.0,4.99,0.0,4.98,5.01,4.97,4.99,0.0
0.0,0.0,0.0,4.94,4.96,0.0,0.0,0.0,4.93,4.94
0.0,5.0,4.93,0.0,0.0,0.0,5.0,4.93,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,4.98,5.0,0.0,0.0,0.0,4.98,4.99,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.98,0.0,0.0,0.0
0.0,4.98,0.0,0.0,0.0,0.0,4.97,0.0,0.0,0.0
0.0,5.01,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.0
4.97,5.01,4.95,4.97,0.0,0.0,5.01,4.95,4.96,0.0
4.99,5.01,4.92,4.99,0.0,4.99,5.01,4.9,4.99,0.0
4.99,5.01,4.9,4.99,0.0,4.99,5.01,0.0,4.99,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
4.97,5.01,4.94,4.99,0.0,4.97,5.01,4.94,4.98,0.0
0.0,4.96,0.0,0.0,0.0,4.97,5.0,0.0,4.97,0.0
4.97,5.01,4.96,4.98,0.0,4.95,4.99,0.0,4.98,0.0
0.0,4.99,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
4.98,5.01,4.94,4.99,0.0,4.98,5.0,0.0,4.99,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.97,4.89,0.0,0.0,0.0,0.0,4.9,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.01,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
4.97,5.01,4.98,4.99,0.0,4.97,5.01,4.99,4.99,0.0
0.0,4.99,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.01,0.0,0.0,0.0,0.0,5.01,4.94,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.97,5.0,4.97,4.98,0.0,4.97,5.01,4.98,4.98,0.0
0.0,5.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
4.98,5.0,0.0,4.96,0.0,4.95,5.0,0.0,0.0,0.0
0.0,4.98,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,5.0,4.98,0.0,0.0,4.98,5.0,4.98,5.0,0.0
0.0,4.98,0.0,0.0,0.0,0.0,4.98,0.0,0.0,0.0
4.99,5.01,0.0,4.99,0.0,4.99,5.01,0.0,4.99,0.0
0.0,5.01,4.86,0.0,0.0,0.0,5.01,0.0,0.0,0.0
0.0,5.01,4.91,4.92,0.0,0.0,5.01,0.0,4.93,0.0
0.0,4.99,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.01,0.0,4.95,0.0
0.0,4.98,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
4.98,5.01,0.0,4.98,0.0,4.98,5.01,4.94,4.99,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
4.98,5.01,4.91,4.98,0.0,4.97,5.01,4.91,4.98,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
4.97,5.01,4.97,4.99,0.0,4.98,5.01,4.97,4.99,0.0
0.0,4.98,0.0,0.0,0.0,4.98,5.01,0.0,4.99,0.0
4.98,5.01,4.96,4.99,0.0,4.98,5.01,4.96,4.99,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.01,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.0
4.98,5.0,4.95,4.96,0.0,4.96,5.0,4.96,4.95,0.0
4.99,5.01,4.98,4.99,0.0,4.99,5.01,4.98,4.99,0.0
0.0,4.95,4.94,0.0,0.0,0.0,4.97,4.93,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
4.97,5.0,4.91,4.97,0.0,4.97,5.0,4.92,4.97,0.0
4.96,5.01,4.94,4.98,0.0,4.97,5.01,0.0,4.98,0.0
0.0,0.0,4.91,0.0,0.0,0.0,0.0,4.9,0.0,0.0
0.0,4.94,0.0,0.0,0.0,0.0,4.94,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,4.93,0.0
4.97,5.0,4.95,4.99,0.0,4.97,5.0,4.97,4.98,0.0
0.0,5.0,5.01,0.0,0.0,0.0,4.99,5.01,0.0,0.0
0.0,5.01,4.99,0.0,0.0,0.0,5.01,4.93,0.0,0.0
4.98,5.01,0.0,4.98,0.0,4.98,5.01,4.92,4.98,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
4.99,5.01,4.98,4.99,0.0,4.98,5.01,4.98,4.99,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
4.97,5.0,0.0,4.96,0.0,4.98,5.0,4.94,4.98,0.0
0.0,4.98,4.96,0.0,0.0,0.0,4.97,4.96,0.0,0.0
0.0,4.98,0.0,0.0,0.0,0.0,4.98,0.0,0.0,0.0
0.0,4.99,4.8,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,5.0,4.94,0.0,0.0,0.0,5.0,4.96,0.0,0.0
0.0,5.01,0.0,4.96,0.0,0.0,5.01,0.0,4.97,0.0
0.0,5.0,0.0,4.95,0.0,0.0,5.0,0.0,4.94,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
4.97,5.0,0.0,4.97,0.0,4.97,5.01,4.95,5.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.99,4.94,0.0,0.0,4.96,5.0,4.93,4.98,0.0
4.97,5.0,4.97,4.98,0.0,4.97,5.0,4.97,4.98,0.0
0.0,4.97,0.0,0.0,0.0,0.0,4.97,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,4.97,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0
0.0,4.98,4.97,0.0,0.0,0.0,4.99,4.97,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
4.97,5.01,4.99,4.98,0.0,4.97,5.01,4.98,4.99,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.94,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.99,4.96,0.0,0.0,0.0,4.99,4.96,0.0,0.0
4.97,5.0,0.0,4.97,0.0,0.0,4.99,0.0,0.0,0.0
4.99,5.01,0.0,4.99,0.0,4.99,5.01,0.0,4.99,0.0
4.97,5.01,4.93,4.98,0.0,4.99,5.01,4.93,4.99,0.0
0.0,5.01,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.97,4.91,0.0,0.0,0.0,4.97,4.9,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.95,0.0,0.0,0.0,0.0,4.94,0.0,0.0,0.0
0.0,4.97,0.0,0.0,0.0,0.0,4.97,0.0,0.0,0.0
0.0,5.01,4.95,0.0,0.0,0.0,5.01,4.93,0.0,0.0
0.0,4.97,4.91,0.0,0.0,0.0,4.97,4.91,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,4.97,0.0,0.0,0.0
0.0,0.0,4.95,0.0,0.0,0.0,0.0,4.95,0.0,0.0
0.0,5.0,4.93,0.0,0.0,0.0,5.0,4.93,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,0.0,4.97,0.0,4.94,5.0,0.0,0.0,0.0
0.0,4.97,0.0,0.0,0.0,0.0,5.0,4.95,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,4.99,0.0,4.92,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.99,4.9,0.0,0.0,0.0,5.0,4.9,0.0,0.0
0.0,4.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,4.93,0.0,0.0,0.0,4.96,0.0,0.0,0.0
0.0,4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.92,0.0,0.0,0.0
0.0,5.0,4.87,0.0,0.0,0.0,5.0,4.83,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,4.87,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.98,0.0,4.93,0.0,0.0,4.97
0.0,4.97,0.0,0.0,0.0,0.0,4.97,0.0,0.0,0.0
0.0,4.97,0.0,4.95,0.0,4.97,5.0,0.0,4.97,0.0
0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.98,0.0,0.0,0.0
4.98,5.01,0.0,4.97,0.0,4.98,5.0,0.0,4.98,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,4.99,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.93,0.0,0.0,0.0,0.0,4.97,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,4.96,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0
